Clock frequency is approx. 2208.1 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	6869.3	6139.4	5138.1	3958.8	3178.5	2581.0	2111.3	1863.2	1768.8	1702.5	1613.9	1522.9	1485.6	1412.6	1365.9	1248.3	1247.1	1260.1	1225.0	1242.3	1209.0	1154.0	1088.3	1106.5	1083.5	1116.0	1152.7	1096.6	1267.4	1111.3	1298.0	899.4	1244.6	1310.6	1210.6	1278.4	1303.9	1217.7	1301.4	1186.3	1158.1	1324.5	1294.9	1432.5	1443.4	1578.3	1336.2	1215.7	1472.3	1490.9	1449.3	1572.3	1500.4	1486.8	1548.2	1504.1	1590.3	1614.1	1727.8	1698.9	1687.9	1633.5	1560.8	978.0	
16m	7079.4	6542.3	5824.8	4710.6	3884.3	3196.3	2851.3	2489.9	2372.8	2248.6	2042.6	2040.6	2007.8	1930.7	1889.8	1655.1	1876.9	1986.0	1880.5	1775.7	1902.7	2085.8	1947.3	2250.5	2287.5	2305.3	2387.9	2310.9	2322.6	2475.1	2691.2	1556.1	2148.7	2694.1	2710.5	3273.6	2939.8	3251.4	3191.6	2908.8	3460.4	3098.6	3211.4	3105.8	3282.1	3805.1	3724.9	2469.5	2745.3	2954.9	3189.4	3597.2	3518.9	3427.5	3505.9	3708.3	3643.7	3841.9	3809.9	3814.9	3703.1	3760.5	3853.0	1546.8	
8m	7580.1	7298.4	6882.0	6428.5	5901.4	5055.1	3958.4	3608.7	3638.2	3884.2	3888.7	3942.7	3921.3	3935.0	3901.1	3256.6	4067.3	4050.4	4211.7	4191.4	4224.3	4168.5	4373.5	4568.2	4726.1	4700.6	4669.6	4883.2	5067.2	5018.0	4880.7	3193.5	3588.4	3556.0	3536.5	3710.7	3649.9	3736.4	3603.7	4000.2	4070.3	4182.4	4096.3	4105.6	4033.6	4004.3	4122.0	3473.6	3972.6	3998.5	4173.1	4068.9	4030.7	4109.5	3964.6	4016.3	4012.4	3987.5	3919.3	4469.2	4198.8	4136.1	4081.4	3449.5	
4m	7841.0	7931.8	7917.6	7901.7	7843.0	7885.5	7868.9	7794.0	7779.2	7827.4	7759.1	7649.9	7545.4	7425.7	7288.6	6025.4	7064.1	6938.3	6807.7	7161.3	6605.3	6494.2	6402.7	7157.1	7166.2	6280.2	7141.2	6218.6	7170.9	7144.3	6149.8	4808.7	7125.3	6112.2	7159.9	6116.9	6094.7	7162.0	6100.0	6089.6	6100.2	6128.1	6098.7	7140.6	6140.3	6090.4	6056.1	4898.7	6043.7	6081.9	6072.7	6085.7	6076.4	6083.2	6142.1	6150.9	6110.7	6135.4	6110.8	6076.2	6094.1	6093.1	6119.7	4845.4	
2m	7980.6	7980.5	7981.0	7979.6	7980.9	7977.7	7976.7	7973.3	7974.2	7971.4	7944.8	7765.8	7612.7	7473.0	7312.5	6169.8	7083.7	6957.2	6800.3	6661.8	7154.4	7176.6	6403.0	6353.2	7164.5	6258.1	6198.8	6202.1	6181.5	7211.0	7242.3	4933.2	6164.9	7300.4	6135.0	6145.8	6151.3	6175.9	6116.7	6134.4	7546.8	6203.2	6173.5	7737.4	6235.9	6231.8	6181.1	4910.6	6204.4	6312.4	6311.6	7879.3	6296.6	6381.5	6477.6	6645.1	6608.2	6549.6	6547.0	6610.0	6704.9	6783.8	6775.8	4873.8	
1024k	7980.8	7979.5	7981.2	7977.3	7977.8	7980.3	7980.7	7975.3	7963.8	7970.3	7869.4	7664.6	7545.5	7348.4	7298.3	6165.8	7119.6	7008.4	6913.8	6774.0	6738.5	6613.3	6527.6	6237.7	7559.2	7882.1	6432.2	6386.5	7919.0	6638.4	7741.5	4952.5	6888.2	7042.2	6886.7	7149.4	7140.1	7198.8	7213.6	7398.2	7960.6	7610.2	7620.3	7610.9	7791.0	7760.4	7899.8	5321.8	7875.3	7824.7	7920.3	7911.3	7928.4	7931.4	7907.2	7950.9	7924.4	7948.7	7950.3	7917.4	7950.4	7891.8	7913.9	4955.9	
512k	7980.2	7977.5	7980.3	7981.4	7979.1	7976.4	7973.4	7973.1	7967.8	7953.3	7963.3	7919.3	7870.9	7811.5	7794.2	6496.3	7759.6	7721.0	7793.7	7717.8	7747.1	7738.5	7724.7	7802.7	7712.6	7754.2	7793.0	7833.4	7936.1	7940.2	7935.4	5456.7	7915.3	7944.3	7924.2	7943.9	7924.7	7929.6	7928.4	7911.9	7931.3	7920.7	7899.5	7929.4	7920.1	7898.9	7915.0	7598.3	7927.8	7896.4	7909.2	7916.9	7902.6	7881.9	7906.8	7908.4	7884.4	7895.3	7911.9	7907.6	7874.1	7898.4	7907.1	5441.9	
256k	7979.7	7974.8	7984.3	7981.0	7981.8	7970.3	7975.7	7975.7	7971.7	7973.0	7963.3	7957.2	7956.5	7935.7	7956.5	7926.8	7962.9	7924.3	7950.3	7942.3	7925.2	7939.0	7933.8	7917.6	7945.2	7922.5	7905.1	7914.4	7926.6	7901.1	7898.4	7906.0	7921.9	7896.4	7867.1	7896.5	7916.2	7883.9	7860.6	7864.0	7895.2	7874.8	7881.0	7876.5	7852.5	7883.4	7883.9	7860.9	7863.7	7852.8	7881.8	7861.0	7812.1	7846.4	7842.0	7842.4	7872.2	7869.5	7848.6	7817.9	7815.7	7832.2	7826.2	7797.0	
128k	7976.6	7985.4	7978.2	7968.7	7964.2	7973.0	7963.2	7940.7	7963.6	7929.3	7934.2	7943.7	7916.9	7908.4	7927.1	7926.8	7903.7	7888.8	7900.2	7915.7	7892.8	7867.1	7863.7	7891.7	7884.9	7861.0	7857.9	7842.4	7857.1	7856.1	7858.5	7823.9	7843.0	7867.2	7843.7	7864.6	7868.4	7835.2	7826.3	7828.8	7823.9	7811.1	7807.8	7809.7	7822.5	7824.6	7812.5	7768.3	7789.6	7799.9	7773.8	7771.6	7778.8	7789.4	7807.1	7781.6	7786.0	7769.7	7784.5	7753.3	7775.5	7728.4	7732.2	7638.9	
64k	7984.5	7975.7	7965.1	7968.7	7929.3	7933.3	7932.6	7912.9	7888.8	7898.4	7904.9	7881.4	7849.9	7842.4	7830.6	7851.1	7881.8	7849.2	7851.4	7845.8	7811.1	7809.7	7785.8	7788.3	7799.9	7771.6	7789.4	7781.6	7794.0	7753.3	7754.1	7717.1	7744.0	7736.5	7712.0	7698.8	7667.8	7706.1	7664.6	7695.5	7704.3	7689.0	7683.1	7682.0	7618.6	7632.0	7657.0	7650.0	7648.3	7612.2	7627.5	7560.4	7581.2	7609.2	7600.8	7554.1	7596.2	7554.5	7564.9	7582.6	7504.8	7529.0	7554.1	7110.4	
32k	7981.0	7947.7	7949.0	7912.9	7872.6	7871.1	7866.2	7864.8	7849.2	7845.8	7828.3	7808.5	7771.6	7758.3	7753.3	7743.6	7764.7	7728.4	7737.4	7728.4	7654.8	7646.3	7632.0	7650.0	7652.5	7560.4	7609.2	7554.1	7554.5	7535.2	7529.0	7537.1	7501.6	7487.4	7488.4	7497.7	7458.7	7493.7	7479.1	7472.9	7413.0	7423.9	7379.8	11408.6	13857.9	14292.6	14798.7	15059.4	7302.1	7304.7	7232.7	7245.4	7258.6	15930.0	15640.9	15753.1	18106.6	17791.2	18568.3	18838.1	17966.1	18217.0	17941.0	18842.7	
16k	7954.7	7940.7	7902.1	7864.8	7828.8	7788.3	7758.3	7770.2	7728.4	7695.5	7646.3	7689.0	7643.5	7598.5	7582.6	7587.6	7487.4	7497.7	7435.2	7411.7	7423.9	14162.4	7278.6	7310.4	15720.9	7245.4	16318.6	15753.1	17791.2	7092.0	7023.4	7155.4	18883.3	18312.2	19137.1	18605.5	18073.9	19034.0	19321.1	18062.5	20023.7	18721.1	20030.8	19557.7	19137.1	18716.5	19210.7	6722.9	18437.8	6685.7	17720.2	6688.1	10034.0	6690.6	20494.1	6579.3	6601.4	19459.1	6506.9	17729.9	6432.4	12672.7	19137.1	6573.0	
8k	7912.9	7864.8	7808.5	7770.2	7728.4	7650.0	7598.5	7537.1	7497.7	7411.7	13922.4	7382.1	7245.4	7176.4	18267.2	18842.7	18312.2	18605.5	18301.9	19633.1	6944.9	19557.7	18716.5	6722.9	19001.5	17389.0	19678.3	6579.3	19459.1	17729.9	19431.5	18842.7	15211.5	6308.9	10334.0	6265.6	17428.4	18259.5	15456.9	17325.3	16900.6	9786.0	5993.5	18668.7	18267.2	17865.7	16008.9	15640.9	15364.9	16360.2	17665.0	15758.0	15456.9	15155.8	14854.7	9481.9	17542.3	15567.3	10157.4	9384.5	5479.4	14573.6	14352.8	5435.4	
4k	7864.8	7743.6	7611.3	7537.1	7411.7	7310.4	7257.0	18842.7	7075.3	18062.5	19557.7	6722.9	6561.9	10074.6	6413.0	18842.7	6162.2	16708.1	6246.7	6087.3	5980.3	15796.6	5780.1	5687.6	16360.2	15758.0	5748.7	14653.9	5559.7	15015.2	14573.6	15702.2	15211.5	16560.9	14352.8	13862.1	5060.3	14766.8	14490.8	14076.8	13662.8	13386.8	13110.7	11408.6	7176.4	12282.7	12006.7	8531.4	7636.4	7452.4	8832.5	12302.4	8501.3	8280.5	7427.3	7327.0	4354.9	7025.8	6925.5	6256.4	10567.4	6624.4	7176.4	4156.5	
2k	7770.2	7537.1	7310.4	18842.7	18815.1	6722.9	18963.9	6423.6	6265.6	6087.3	5867.3	5865.3	15758.0	14653.9	15015.2	15702.2	13248.7	4990.4	13126.1	14076.8	13386.8	12834.7	14037.4	13406.5	8129.9	12302.4	10350.6	11513.8	11040.6	10725.2	7286.8	10094.3	9778.8	11040.6	7115.1	6869.7	7590.4	7314.4	7176.4	6256.4	6011.0	6624.4	8648.5	7255.3	6210.3	5397.6	5934.3	5152.3	5658.3	4906.9	6308.9	6151.2	5244.3	5835.8	5106.3	4968.3	3220.2	5520.3	4692.3	4692.3	4554.3	4048.2	4416.2	5047.1	
